no,date,honsuji1,honsuji2,honsuji3,honsuji4,honsuji5,honsuji6,honsuji7,bonus_suji1,bonus_suji2
374,20200626,04,05,09,10,18,27,35,15,34
375,20200703,13,15,18,19,23,27,32,34,35
376,20200710,06,11,14,17,23,31,37,10,15
377,20200717,06,07,10,17,25,33,36,27,32
378,20200724,01,05,09,10,14,15,29,20,28
379,20200731,03,08,15,22,24,29,35,18,26
380,20200807,08,14,24,25,32,34,36,13,16
381,20200814,04,08,25,26,27,31,32,09,22
382,20200821,02,03,05,08,19,22,37,16,28
383,20200828,08,11,15,22,26,28,30,10,20
384,20200904,03,07,15,18,26,30,31,09,33
385,20200911,04,12,14,24,29,34,35,05,15
386,20200918,09,19,22,32,35,36,37,07,21
387,20200925,03,07,13,22,30,32,37,14,15
388,20201002,01,06,08,10,18,21,32,13,28
389,20201009,01,06,11,13,18,24,27,17,23
390,20201016,03,06,19,21,23,26,27,30,34
391,20201023,10,23,27,32,33,35,37,24,26
392,20201030,01,04,06,15,20,22,26,18,21
393,20201106,07,14,15,22,27,30,31,09,32
394,20201113,06,10,22,23,27,32,33,08,19
395,20201120,01,02,05,20,26,29,32,08,09
396,20201127,02,03,05,08,16,20,34,26,31
397,20201204,04,12,13,15,21,28,37,07,20
398,20201211,03,04,10,17,20,22,33,01,06
399,20201218,07,15,19,20,21,33,36,04,10
400,20201225,04,17,22,28,30,31,35,25,34
401,20210108,04,05,09,14,18,30,35,01,33
402,20210115,07,09,12,17,20,26,29,04,13
403,20210122,02,06,08,12,19,20,29,05,26
404,20210129,04,08,13,16,25,30,32,09,26
405,20210205,03,10,16,17,24,32,36,11,29
406,20210212,01,02,05,16,18,21,29,24,25
407,20210219,19,21,25,26,28,30,31,09,16
408,20210226,16,18,19,21,29,30,35,14,28
409,20210305,13,15,16,24,30,31,37,12,33
410,20210312,01,02,18,21,26,29,37,09,36
411,20210319,04,11,12,21,23,27,36,09,14
412,20210326,14,20,22,29,31,33,34,15,24
413,20210402,03,10,16,18,19,34,35,27,36
414,20210409,03,08,16,21,25,36,37,14,20
415,20210416,04,08,12,13,23,32,37,16,35
416,20210423,08,09,10,15,16,30,31,29,36
417,20210430,04,05,13,18,23,27,32,09,11
418,20210507,10,13,17,18,22,28,37,01,20
419,20210514,03,11,14,21,26,29,34,22,33
420,20210521,04,05,11,13,24,32,34,02,03
421,20210528,09,15,18,26,28,32,37,21,36
422,20210604,01,09,21,23,30,35,36,05,06
423,20210611,01,07,09,11,29,31,32,02,06
424,20210618,05,06,12,19,25,30,35,26,33
425,20210625,02,09,14,20,22,34,35,07,24
426,20210702,01,02,06,08,30,31,33,13,35
427,20210709,11,13,26,27,31,33,37,09,18
428,20210716,03,06,16,22,31,34,35,24,32
429,20210723,06,11,14,27,30,32,35,18,24
430,20210730,02,12,17,24,28,30,32,03,27
431,20210806,07,11,12,17,19,20,26,02,03
432,20210813,05,10,13,24,29,30,35,21,31
433,20210820,14,17,20,25,32,33,36,10,34
434,20210827,10,11,12,17,29,34,37,26,30
435,20210903,03,05,07,11,15,17,25,13,32
436,20210910,05,06,21,22,26,31,32,18,36
437,20210917,08,10,14,15,23,25,26,01,11
438,20210924,04,13,16,21,32,34,37,27,33
439,20211001,01,03,06,09,26,29,31,14,18
440,20211008,05,10,17,18,19,22,32,14,35
441,20211015,15,21,22,23,27,28,37,08,25
442,20211022,06,13,14,16,19,30,32,25,36
443,20211029,01,05,08,26,28,32,36,23,24
444,20211105,11,15,16,17,18,27,29,25,33
445,20211112,04,22,25,27,28,30,33,02,03
446,20211119,01,07,09,12,15,29,32,11,28
447,20211126,03,05,08,13,26,30,37,25,28
448,20211203,07,21,24,29,32,36,37,22,27
449,20211210,02,21,26,27,32,33,34,08,09
450,20211217,02,07,12,15,21,23,30,09,31
451,20211224,02,15,22,25,28,33,37,10,17
452,20220107,05,17,20,21,31,34,35,08,27
453,20220114,02,08,10,21,24,26,35,09,13
454,20220121,08,17,21,26,27,29,31,01,33
455,20220128,01,05,08,15,18,26,36,33,34
456,20220204,09,15,17,18,22,25,31,33,36
457,20220211,07,14,19,27,31,35,36,09,33
458,20220218,07,11,12,14,19,21,33,06,37
459,20220225,02,04,07,08,10,20,29,14,33
460,20220304,05,06,09,23,27,28,30,04,13
461,20220311,02,13,19,22,32,35,37,14,33
462,20220318,07,11,24,27,29,34,35,04,18
463,20220325,03,07,13,16,19,24,30,06,10
464,20220401,07,08,13,17,30,32,36,01,10
465,20220408,01,04,05,13,27,31,35,15,22
466,20220415,05,06,08,14,15,25,29,18,33
467,20220422,07,08,11,13,14,26,30,31,34
468,20220429,03,12,15,16,25,29,37,26,28
469,20220506,01,06,08,13,16,30,33,23,28
470,20220513,02,03,09,16,27,32,36,01,34
471,20220520,03,05,07,08,11,19,34,17,32
472,20220527,05,07,08,32,33,34,36,04,06
473,20220603,06,11,21,24,28,33,37,08,27
474,20220610,03,17,19,21,24,32,34,27,28
475,20220617,01,02,22,24,26,31,37,12,19
476,20220624,04,07,09,15,22,24,31,21,37
477,20220701,02,05,09,19,25,32,37,07,29
478,20220708,06,08,11,13,16,20,32,12,34
479,20220715,08,11,13,18,24,30,31,21,23
480,20220722,10,13,19,21,26,30,36,22,34
481,20220729,01,10,13,14,16,25,27,05,21
482,20220805,02,05,14,15,17,19,36,08,34
483,20220812,02,11,20,23,25,36,37,29,34
484,20220819,01,04,06,09,13,22,31,29,30
485,20220826,04,06,17,20,22,24,26,08,09
486,20220902,08,13,15,23,24,31,35,14,19
487,20220909,09,10,13,15,26,34,37,22,36
488,20220916,03,13,16,18,19,20,35,02,11
489,20220923,03,06,07,15,25,29,31,08,14
490,20220930,12,14,18,21,23,29,37,07,15
491,20221007,03,14,17,21,22,32,35,06,30
492,20221014,07,10,12,15,23,31,37,09,18
493,20221021,05,13,14,20,21,25,31,09,36
